,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
41,PY51963,California,F,Bachelor,3347334,33190,106,0,Corporate Auto,SUV,508
42,RB69909,Nevada,F,High School or Below,798343,36014,69,3,Special Auto,Four-Door Car,173
43,NW21079,Washington,F,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33
44,FR46645,California,F,Bachelor,429399,16701,113,0,Personal Auto,Four-Door Car,831
45,SY17488,Arizona,F,College,716439,46623,91,0,Corporate Auto,Four-Door Car,436
46,AP67935,California,F,College,761951,64749,64,0,Special Auto,Four-Door Car,302
47,ML29312,Oregon,F,High School or Below,449949,16969,124,2,Personal Auto,SUV,704
48,UB61619,Oregon,F,Master,405956,11621,108,0,Personal Auto,Four-Door Car,518
49,CD86811,Arizona,F,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
50,RU83859,California,F,Bachelor,811033,11489,105,0,Personal Auto,Two-Door Car,504
51,NN71951,California,F,High School or Below,2426101,66525,100,0,Personal Auto,SUV,104
52,SM52139,Washington,F,College,293069,33663,73,0,Personal Auto,Four-Door Car,350
53,FL82372,Oregon,F,College,867219,22547,112,0,Corporate Auto,SUV,537
54,DP45816,Arizona,F,High School or Below,1163866,61486,97,0,Personal Auto,Two-Door Car,465
55,RZ33670,California,F,College,1172777,29879,102,0,Personal Auto,Four-Door Car,500
56,PY70169,Oregon,F,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281
57,MO91628,Oregon,F,Master,261447,65186,65,0,Personal Auto,Two-Door Car,5
58,HW87852,Oregon,F,Master,245175,26840,64,2,Personal Auto,Four-Door Car,307
59,BN87372,Oregon,F,Bachelor,497480,75644,65,3,Personal Auto,Two-Door Car,467
60,YX23800,Oregon,F,Bachelor,859160,38984,73,0,Personal Auto,Four-Door Car,350
61,DZ87709,Oregon,F,High School or Below,559216,71811,71,0,Personal Auto,Four-Door Car,29
62,XW13033,Nevada,F,College,800947,20961,67,0,Personal Auto,Four-Door Car,321
63,SP81997,Washington,F,Master,793690,41275,96,0,Personal Auto,Four-Door Car,41
64,OM82309,California,F,Bachelor,5816655,61321,186,1,Personal Auto,Luxury,427
65,VH85817,California,F,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787
66,DT85712,California,F,Doctor,411853,34378,102,0,Personal Auto,SUV,489
67,YJ88573,Nevada,F,Master,252307,43072,63,0,Personal Auto,Four-Door Car,302
68,SQ19467,Oregon,F,College,655421,25222,90,0,Personal Auto,Four-Door Car,475
69,YB66933,Washington,F,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45
70,ET79815,California,F,College,592672,23091,96,5,Personal Auto,Four-Door Car,460
71,QC35222,California,F,Bachelor,268347,48269,69,3,Corporate Auto,Four-Door Car,282
72,CJ15590,Oregon,F,Bachelor,269518,32720,67,0,Personal Auto,Four-Door Car,321
73,OI48267,California,F,College,604702,20396,76,1,Personal Auto,Four-Door Car,364
74,JY67916,Oregon,F,College,1317101,21513,119,1,Personal Auto,Two-Door Car,679
75,CZ33664,Oregon,F,Bachelor,252765,80744,63,0,Corporate Auto,Four-Door Car,11
76,WK30175,Oregon,F,Bachelor,267209,52822,67,0,Corporate Auto,Two-Door Car,350
77,TV87155,Oregon,F,Bachelor,2094619,69738,74,1,Personal Auto,Four-Door Car,492
78,KH48895,Arizona,F,Master,837535,17780,109,0,Personal Auto,SUV,132
79,NZ30757,California,F,Bachelor,480166,18107,62,0,Personal Auto,Four-Door Car,297
80,RI22468,Arizona,F,Bachelor,574594,57740,74,3,Personal Auto,Four-Door Car,269
81,FZ30935,Oregon,F,College,606611,32627,76,0,Personal Auto,Two-Door Car,380
82,XK64261,Oregon,F,Bachelor,476281,65795,62,1,Corporate Auto,Two-Door Car,49
83,EV68375,California,F,College,433038,60475,107,0,Personal Auto,Four-Door Car,513
84,TO96662,Oregon,F,Bachelor,696669,41837,88,0,Personal Auto,Four-Door Car,142
85,MR52087,California,F,Bachelor,769406,32303,65,0,Personal Auto,Four-Door Car,45
86,EP80820,California,F,Bachelor,592874,40531,74,0,Personal Auto,Two-Door Car,30
87,GU99037,Oregon,F,College,245297,79898,62,1,Corporate Auto,Four-Door Car,271
88,WI57118,California,F,College,670157,56398,85,0,Personal Auto,Four-Door Car,408
89,GP39118,Washington,M,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46
90,MQ14219,Arizona,F,College,849269,27804,109,0,Personal Auto,SUV,784
91,KN20603,Oregon,F,Bachelor,771349,45506,66,2,Personal Auto,Four-Door Car,316
92,SG20925,Washington,F,Master,518579,99428,6464,1,Personal Auto,Four-Door Car,48
93,VF72557,Oregon,F,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
94,OX28638,Arizona,F,High School or Below,680649,37839,86,0,Personal Auto,Two-Door Car,465
95,SK55033,California,F,Bachelor,246978,92711,62,0,Personal Auto,Two-Door Car,368
96,OO88645,California,F,College,310392,74665,78,2,Corporate Auto,Four-Door Car,236
97,FM14335,Washington,F,College,1048491,61108,89,0,Personal Auto,Four-Door Car,49
98,CW82151,California,F,Bachelor,890273,46833,112,0,Personal Auto,Luxury,64
99,DY22043,Oregon,F,High School or Below,549944,88768,68,0,Personal Auto,Two-Door Car,326
100,SH36774,California,F,High School or Below,1502359,28262,192,0,Personal Auto,Luxury,921
101,EM43724,Nevada,F,Bachelor,250910,33555,63,0,Personal Auto,Four-Door Car,101
102,FH85960,Oregon,F,College,3122174,42780,113,1,Personal Auto,Four-Door Car,542
103,XA55993,Oregon,F,Master,313350,58850,78,0,Personal Auto,Four-Door Car,143
104,GO36627,Arizona,F,College,383745,21880,97,0,Special Auto,Four-Door Car,424
105,QH48047,Oregon,F,College,1179049,25251,66,0,Personal Auto,Four-Door Car,316
106,HS28694,Washington,F,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50
107,UH65059,Arizona,F,High School or Below,430580,24188,109,0,Personal Auto,Luxury,523
108,FV21968,Nevada,F,Bachelor,597397,41611,74,0,Special Auto,Four-Door Car,113
109,QA87025,Oregon,F,Bachelor,567044,28406,72,1,Personal Auto,Four-Door Car,192
110,TQ13499,Arizona,F,College,473174,69833,118,0,Personal Auto,Four-Door Car,828
111,PU25891,Oregon,F,High School or Below,961831,80536,119,0,Special Auto,Luxury,53
112,LH92841,Washington,F,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,50
113,SX26335,Oregon,F,College,955292,97732,79,0,Personal Auto,Four-Door Car,289
114,AZ95587,Arizona,F,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,392
115,OJ94107,Arizona,M,Master,561906,50335,140,0,Personal Auto,SUV,456
116,FF22360,Washington,F,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,51
117,ZU18643,Nevada,M,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,251
118,XC67861,Arizona,F,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,321
119,YC43143,Arizona,F,High School or Below,798825,77330,99,0,Personal Auto,Four-Door Car,99
120,PA38372,Washington,F,High School or Below,935773,33060,117,0,Personal Auto,Four-Door Car,56
121,RO18530,Washington,M,Master,254068,42557,65,0,Personal Auto,Four-Door Car,57
122,PD27940,Arizona,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,604
123,BS77946,Arizona,F,Bachelor,975330,17514,127,0,Personal Auto,SUV,8
124,YM50253,California,F,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,316
125,NR15332,California,M,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312
126,RC62865,Oregon,M,College,351738,51814,92,0,Personal Auto,Four-Door Car,56
127,CC15295,Oregon,F,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,393
128,KA61892,Arizona,M,College,387364,28142,105,0,Personal Auto,Luxury,701
129,OS94884,Arizona,F,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,128
130,OY51402,Washington,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,59
131,GK92563,Washington,F,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,61
132,RI78966,Oregon,M,Master,777115,21876,68,0,Personal Auto,Four-Door Car,465
133,HT87217,Oregon,F,High School or Below,1977656,70699,82,0,Personal Auto,Four-Door Car,256
134,TS19868,California,M,College,241313,27501,63,0,Personal Auto,Four-Door Car,542
135,LP45550,Oregon,F,Doctor,1536384,15897,101,0,Personal Auto,Four-Door Car,303
136,QR87004,Nevada,F,College,845696,25141,73,1,Personal Auto,Four-Door Car,25
137,AB72731,California,F,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84
138,GX84338,Washington,F,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,61
139,IS12901,Arizona,F,Bachelor,596811,90972,74,0,Personal Auto,Two-Door Car,232
140,BN90616,Washington,F,Bachelor,859033,63110,72,0,Personal Auto,Four-Door Car,68
141,HH90090,California,F,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710
142,KC11055,Nevada,F,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1122
143,PD33979,Oregon,M,High School or Below,489243,21709,62,0,Personal Auto,Four-Door Car,408
144,NK71023,Nevada,M,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408
145,OZ97704,California,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532
146,UF46533,California,F,College,457452,99316,114,0,Corporate Auto,SUV,754
147,XP47431,Arizona,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,702
148,GK73582,California,F,Bachelor,297884,64586,76,0,Personal Auto,Four-Door Car,206
149,RV98763,Oregon,M,College,641096,61709,82,2,Personal Auto,Four-Door Car,275
150,II62831,California,M,Master,447902,94656,111,1,Special Auto,SUV,459
151,TR85083,California,M,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336
152,EO95328,Oregon,F,Bachelor,792010,89284,67,3,Personal Auto,Two-Door Car,321
153,YL83902,Washington,F,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,430
154,AZ62651,Oregon,M,High School or Below,995170,56855,255,0,Corporate Auto,Luxury,1836
155,ZW25874,Oregon,M,Bachelor,252155,53703,67,2,Special Auto,Four-Door Car,67
156,SL22297,California,F,Master,1114030,27679,150,0,Personal Auto,SUV,722
157,RV14138,Nevada,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590
158,UO62808,Arizona,F,High School or Below,279974,65351,69,0,Corporate Auto,Four-Door Car,481
159,XX12304,California,F,College,292497,64459,72,0,Personal Auto,Four-Door Car,240
160,SD64087,California,M,College,1501409,32961,190,0,Corporate Auto,SUV,912
161,OY38576,Oregon,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556
162,BG76355,Washington,F,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115
163,IP66913,California,M,High School or Below,388664,78108,98,0,Personal Auto,Two-Door Car,470
164,LE95702,California,M,College,438627,10621,67,0,Special Auto,Four-Door Car,321
165,KX54357,Washington,M,College,1136526,84910,95,0,Corporate Auto,Two-Door Car,383
166,EZ78112,California,F,High School or Below,561096,77493,70,0,Special Auto,Four-Door Car,307
167,XN16891,Arizona,M,College,291289,81097,74,0,Personal Auto,Four-Door Car,355
168,XK31350,Oregon,F,College,691572,96610,85,0,Corporate Auto,Four-Door Car,520
169,CC30924,Oregon,M,College,626266,30110,159,0,Corporate Auto,Luxury,466
170,IT78748,Oregon,F,High School or Below,650339,22081,84,0,Special Auto,Two-Door Car,451
171,CO44221,California,M,College,292991,98473,72,0,Personal Auto,Four-Door Car,345
172,LK60013,Oregon,F,Bachelor,596955,97431,74,0,Personal Auto,Four-Door Car,355
173,DE21533,California,M,Bachelor,547315,93870,69,0,Personal Auto,Four-Door Car,331
174,YS94121,Nevada,M,High School or Below,564539,50366,72,0,Personal Auto,Four-Door Car,428
175,UK68427,Washington,M,High School or Below,636926,34498,83,0,Personal Auto,Two-Door Car,398
176,TE49565,Oregon,F,College,1183376,16552,103,0,Personal Auto,SUV,494
177,RA88421,Oregon,F,College,612110,26787,77,0,Personal Auto,Four-Door Car,369
178,CD88896,Nevada,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156
179,YV22553,Arizona,M,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373
180,WU14435,California,M,Bachelor,496096,18174,66,0,Corporate Auto,Four-Door Car,395
181,RI24911,Arizona,M,College,750745,60920,64,0,Personal Auto,Two-Door Car,231
182,KO26461,Arizona,M,High School or Below,3226985,41520,90,0,Personal Auto,Four-Door Car,289
183,BH36570,California,M,Bachelor,591278,72208,73,0,Personal Auto,Two-Door Car,350
184,TX17484,California,F,Bachelor,1518227,53863,63,0,Personal Auto,Four-Door Car,105
185,CT41158,Washington,M,College,1074703,66446,136,0,Corporate Auto,SUV,639
186,DE55857,Washington,F,Bachelor,246544,64997,63,1,Personal Auto,Four-Door Car,383
187,LF66923,Nevada,F,High School or Below,534312,64460,66,0,Corporate Auto,Two-Door Car,316
188,CN24514,Arizona,F,College,811982,46618,67,0,Personal Auto,Four-Door Car,99
189,HP36979,California,M,College,640878,49988,84,5,Personal Auto,Two-Door Car,566
190,RO73268,California,M,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,412
191,HO61691,Arizona,F,Bachelor,509452,72006,64,0,Personal Auto,Four-Door Car,307
192,HR10526,California,M,Master,804473,44320,67,0,Personal Auto,Four-Door Car,321
193,IA63417,Arizona,F,High School or Below,400151,19782,108,0,Personal Auto,Two-Door Car,773
194,BH35016,Nevada,F,Bachelor,1670611,63933,70,0,Personal Auto,Two-Door Car,424
195,PK52952,Arizona,M,Doctor,854441,28224,109,0,Personal Auto,SUV,523
196,OD76309,Washington,F,College,780531,21073,106,1,Personal Auto,SUV,508
197,IL28481,Oregon,M,Bachelor,611275,63243,77,0,Personal Auto,Four-Door Car,364
198,GY55092,Nevada,M,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
199,UF33451,Oregon,F,Bachelor,1097909,94827,135,0,Personal Auto,SUV,354
200,CF15558,California,F,Master,500426,39161,63,1,Personal Auto,Two-Door Car,283
201,JM62924,Washington,M,Bachelor,1322304,37534,84,2,Personal Auto,Four-Door Car,403
202,EM66435,Oregon,F,Bachelor,262331,80210,65,0,Corporate Auto,Four-Door Car,20
203,JI71369,California,F,College,510611,30110,64,0,Personal Auto,Four-Door Car,140
204,JU93290,Arizona,F,College,1793060,21708,68,0,Personal Auto,Four-Door Car,326
205,GU66096,Arizona,M,High School or Below,545734,94731,67,0,Personal Auto,Four-Door Car,321
206,UC33108,California,M,Bachelor,656364,32375,83,0,Personal Auto,Four-Door Car,398
207,LW93867,Oregon,M,College,481252,16531,63,0,Corporate Auto,Four-Door Car,102
208,OU78470,Arizona,F,Master,2932804,32006,94,0,Corporate Auto,Four-Door Car,56
209,XW90265,Arizona,F,Bachelor,577352,81676,72,0,Personal Auto,Two-Door Car,463
210,HS67749,California,M,College,684711,71038,86,0,Corporate Auto,Four-Door Car,205
211,UI64281,Nevada,F,Master,2285561,20832,65,0,Personal Auto,Two-Door Car,56
212,AZ74055,Oregon,M,High School or Below,411557,52405,103,0,Personal Auto,Four-Door Car,494
213,AY40674,Washington,F,Bachelor,482141,26583,1005,4,Personal Auto,SUV,614
214,NA12740,Oregon,M,Master,500431,25486,65,0,Special Auto,Two-Door Car,72
215,UA84837,Arizona,M,College,863005,24065,111,0,Corporate Auto,Four-Door Car,532
216,DJ51510,Arizona,F,High School or Below,932208,70435,116,0,Personal Auto,Four-Door Car,67
217,OH60605,Oregon,F,High School or Below,365253,39679,92,0,Personal Auto,Two-Door Car,641
218,LQ13873,Nevada,M,High School or Below,556945,53565,71,1,Personal Auto,Four-Door Car,340
219,LA97014,Washington,M,Bachelor,257651,37574,66,1,Personal Auto,Two-Door Car,412
220,NB79936,Washington,M,Bachelor,834698,48259,108,0,Personal Auto,Two-Door Car,73
221,NT89061,Arizona,F,High School or Below,632392,78532,78,0,Personal Auto,Four-Door Car,374
222,AF10970,Arizona,F,Bachelor,597314,96163,73,0,Corporate Auto,Four-Door Car,350
223,FE84989,Washington,M,College,503574,72672,63,0,Personal Auto,Four-Door Car,259
224,JT52858,Oregon,F,Bachelor,902786,99002,112,1,Personal Auto,Four-Door Car,537
225,MC62068,California,M,High School or Below,728888,79494,91,0,Personal Auto,Four-Door Car,396
226,EU27538,Oregon,M,Master,1804247,35704,225,0,Personal Auto,Luxury,358
227,US23612,Oregon,F,High School or Below,910226,26049,118,0,Personal Auto,Two-Door Car,121
228,WV76014,Arizona,M,Doctor,254040,70125,64,0,Special Auto,Four-Door Car,92
229,RK96223,California,M,College,1294189,52369,110,1,Personal Auto,SUV,528
230,FM46980,Arizona,M,College,572076,41770,72,0,Personal Auto,Four-Door Car,476
231,RF61565,California,M,College,263697,31911,67,0,Personal Auto,Four-Door Car,321
232,IM94808,Nevada,M,Bachelor,539583,70051,68,0,Corporate Auto,Four-Door Car,42
233,VI14730,Oregon,M,High School or Below,838263,19683,117,1,Personal Auto,Luxury,561
234,YR34119,Washington,F,College,3116174,30916,112,0,Personal Auto,SUV,200
235,QD28391,Washington,M,College,742584,84302,62,0,Personal Auto,Four-Door Car,76
236,TM23514,Oregon,M,College,1027260,60145,132,0,Personal Auto,SUV,580
237,MQ68407,Oregon,F,Bachelor,437636,63774,111,0,Personal Auto,Four-Door Car,60
238,GJ59592,California,F,Bachelor,531889,25134,67,0,Corporate Auto,Four-Door Car,321
239,FY56083,Oregon,M,Bachelor,471976,37057,61,1,Personal Auto,Four-Door Car,47
240,UA94723,Oregon,F,High School or Below,442803,58577,110,0,Personal Auto,SUV,303
241,FW91032,California,M,High School or Below,587917,85857,73,0,Corporate Auto,Four-Door Car,100
242,DE34457,Oregon,F,Doctor,941690,70602,116,0,Personal Auto,SUV,481
243,HD32044,Oregon,F,Master,828815,33816,106,2,Corporate Auto,Four-Door Car,508
244,AH84063,Oregon,F,College,471945,89642,121,4,Corporate Auto,SUV,86
245,QA17596,California,F,Bachelor,390347,60068,98,0,Personal Auto,Two-Door Car,470
246,XI41052,California,F,Bachelor,545725,50044,139,0,Personal Auto,SUV,667
247,DI30528,California,F,Master,272535,36650,69,1,Personal Auto,Four-Door Car,56
248,SC66359,Arizona,F,College,443397,50653,110,0,Corporate Auto,SUV,262
249,EN61670,Arizona,F,Doctor,533246,68931,66,0,Personal Auto,Four-Door Car,309
250,JE21522,California,M,Bachelor,958733,39266,80,0,Personal Auto,Four-Door Car,384
251,EW38459,Nevada,F,Bachelor,256715,40864,65,0,Corporate Auto,Four-Door Car,9
252,QW87316,Oregon,F,College,265062,39035,68,0,Personal Auto,Four-Door Car,244
253,IC43478,California,M,Bachelor,1126436,34923,98,0,Personal Auto,Two-Door Car,639
254,YM18992,California,F,College,283464,24506,71,0,Personal Auto,Two-Door Car,511
255,KU56006,Arizona,F,College,553638,52220,70,1,Personal Auto,Four-Door Car,336
256,TW43626,California,M,College,808288,53554,67,0,Personal Auto,Four-Door Car,327
257,XX84133,California,M,Bachelor,525473,34476,67,1,Corporate Auto,Four-Door Car,5
258,HO29524,California,M,College,303464,68205,76,0,Personal Auto,Two-Door Car,99
259,GE87503,California,M,High School or Below,1821114,53690,154,0,Personal Auto,SUV,739
260,FY32213,California,F,High School or Below,559538,74454,71,0,Personal Auto,Four-Door Car,340
261,GN45013,Oregon,M,High School or Below,538585,29664,71,0,Personal Auto,Four-Door Car,340
262,NM39588,Washington,F,Doctor,267805,72450,66,0,Corporate Auto,Four-Door Car,84
263,KU84464,Nevada,F,Bachelor,942256,47272,79,3,Personal Auto,Four-Door Car,64
264,YH43527,Oregon,F,College,360586,21585,92,0,Corporate Auto,Four-Door Car,441
265,RO30676,California,F,College,776259,23827,106,2,Personal Auto,Four-Door Car,37
266,QL59704,Arizona,F,College,2344490,69906,74,2,Corporate Auto,Four-Door Car,202
267,SA54664,Washington,M,Master,265438,73196,66,1,Personal Auto,Four-Door Car,85
268,CI38330,Washington,M,Bachelor,254978,72217,6464,0,Personal Auto,Four-Door Car,91
269,WB38524,California,M,High School or Below,296959,46131,74,0,Personal Auto,Two-Door Car,355
270,CE56187,Oregon,F,Master,436312,54514,109,3,Personal Auto,SUV,286
271,JZ61422,Nevada,F,College,527219,96668,66,0,Personal Auto,Four-Door Car,316
272,LA13377,California,M,Doctor,550989,78879,69,1,Personal Auto,Four-Door Car,466
273,ES57969,Oregon,M,Bachelor,245357,29735,69,0,Personal Auto,Four-Door Car,331
274,JK55587,California,M,High School or Below,507566,23082,65,0,Special Auto,Four-Door Car,312
275,RN97635,Arizona,M,Bachelor,321497,53984,80,0,Corporate Auto,Four-Door Car,421
276,BI76326,California,F,College,1227534,52135,156,0,Personal Auto,SUV,430
277,JA34909,California,F,College,272221,17576,71,0,Corporate Auto,Four-Door Car,398
278,OJ90342,Oregon,F,Bachelor,245744,29486,62,0,Personal Auto,Four-Door Car,7
279,CM88932,Oregon,F,Master,355484,58557,88,0,Corporate Auto,Four-Door Car,55
280,JJ97525,California,M,Bachelor,492954,25632,63,0,Personal Auto,Two-Door Car,351
281,MC83487,Arizona,M,Bachelor,427691,18768,68,3,Corporate Auto,Four-Door Car,647
282,CR57148,Oregon,F,Master,596058,47945,74,0,Personal Auto,Two-Door Car,128
283,CP85232,Arizona,M,College,4479546,58778,126,0,Special Auto,SUV,302
284,YL74732,California,F,High School or Below,383211,15192,100,0,Personal Auto,SUV,480
285,FG16766,California,F,Bachelor,683793,51859,171,0,Personal Auto,SUV,1003
286,NV55438,Nevada,F,High School or Below,528526,23422,72,0,Personal Auto,Two-Door Car,518
287,RM10880,California,F,College,309651,21604,79,0,Corporate Auto,Four-Door Car,379
288,GL56175,Arizona,M,College,358971,79298,90,0,Personal Auto,Four-Door Car,244
289,UK52289,Arizona,F,Bachelor,258240,76731,64,0,Special Auto,Four-Door Car,201
290,OT85112,Washington,M,College,340391,38460,88,1,Personal Auto,Four-Door Car,91
291,BC62782,Arizona,F,College,1357567,48534,115,1,Personal Auto,SUV,552
292,TI19722,Washington,M,Doctor,343613,30817,88,0,Corporate Auto,Four-Door Car,91
293,JP30654,Oregon,F,College,2868582,48412,104,0,Personal Auto,SUV,707
294,UM45563,Washington,M,Bachelor,450267,68798,114,0,Personal Auto,SUV,92
295,EN60878,Oregon,M,Bachelor,618311,23712,85,0,Personal Auto,Four-Door Car,376
296,JF36291,California,M,College,387364,28142,105,0,Personal Auto,Luxury,701
297,BK59444,California,F,Master,1892933,72196,68,0,Personal Auto,Four-Door Car,152
298,MK70700,California,M,Master,555329,68197,69,0,Personal Auto,Four-Door Car,176
299,IW71076,California,M,Bachelor,501125,75248,63,0,Corporate Auto,Four-Door Car,104
300,HR85211,Washington,F,Master,512317,89879,63,0,Personal Auto,Two-Door Car,94
301,VC87846,Oregon,M,High School or Below,748431,46998,96,0,Corporate Auto,Four-Door Car,460
302,ZM92052,Oregon,M,Bachelor,261302,57099,67,0,Personal Auto,Two-Door Car,67
303,ON73702,Arizona,F,Bachelor,908063,33897,114,0,Corporate Auto,SUV,539
304,QQ90441,Nevada,F,High School or Below,1377097,59207,116,0,Personal Auto,Four-Door Car,556
305,HU35721,Oregon,M,High School or Below,287682,40171,73,0,Personal Auto,Four-Door Car,350
306,YP47665,Washington,M,Doctor,540891,80192,67,0,Personal Auto,Four-Door Car,95
307,FU99476,Washington,M,High School or Below,677030,74422,85,1,Personal Auto,Four-Door Car,95
308,DJ91267,Nevada,F,Bachelor,2909123,34226,244,0,Personal Auto,Luxury,494
309,KB72438,California,F,High School or Below,1983420,65989,123,1,Personal Auto,SUV,115
310,TR67616,Oregon,M,High School or Below,473136,30686,61,0,Corporate Auto,Four-Door Car,19
311,HB67642,Arizona,F,High School or Below,3461137,20090,109,0,Personal Auto,Luxury,523
312,VV77534,Oregon,M,College,1397651,77094,176,0,Personal Auto,SUV,444
313,GL67540,California,F,College,590408,97413,73,0,Personal Auto,Four-Door Car,268
